item_number,left_German,right_German,left_English,right_English
1,sympathisch,unsympathisch,likable,non_likable
2,unsicher,sicher,unsecure,secure
3,unattraktiv,attraktiv,unattractive,attractive
4,verstaendnisvoll,verstaendnislos,sympathetic,unsympathetic
5,entschieden,unentschieden,decided,indecisive
6,aufdringlich,unaufdringlich,obtrusive,unobtrusive
7,nah,distanziert,close,distant
8,interessiert,gelangweilt,interested,bored
9,emotionslos,emotional,unemotional,emotional
10,genervt,nicht_genervt,irritated,not_irritated
11,passiv,aktiv,passive,active
12,unangenehm,angenehm,unpleasant,pleasant
13,charaktervoll,charakterlos,characterful,characterless
14,reserviert,gesellig,reserved,sociable
15,nervoes,entspannt,nervous,relaxed
16,distanziert,mitfuehlend,distant,affectionate
17,unterwuerfig,dominant,conformable,dominant
18,affektiert,unaffektiert,affected,unaffected
19,gefuehlskalt,herzlich,cold,hearty
20,jung,alt,young,old
21,sachlich,unsachlich,impersonal,personal
22,aufgeregt,ruhig,excited,calm
23,kompetent,inkompetent,competent,incompetent
24,schoen,haesslich,beautiful,ugly
25,unfreundlich,freundlich,unfriendly,friendly
26,weiblich,maennlich,feminine,masculine
27,provokativ,gehorsam,offensive,submissive
28,engagiert,gleichgueltig,committed,indifferent
29,langweilig,interessant,boring,interesting
30,folgsam,zynisch,compliant,cynical
31,unaufgesetzt,aufgesetzt,genuine,artificial
32,dumm,intelligent,stupid,intelligent
33,erwachsen,kindlich,adult,childish
34,frech,bescheiden,impudent,modest
