item_number,left_German,right_German,left_English,right_English
1,klangvoll,klanglos,sonorous,flat
2,tief,hoch,low,high
3,nasal,nicht_nasal,nasal,not_nasal
4,stumpf,scharf,blunt,sharp
5,gleichmaessig,ungleichmaessig,even,uneven
6,akzentfrei,mit_Akzent,accented,without_accent
7,dunkel,hell,dark,bright
8,leise,laut,quiet,loud
9,knarrend,nicht_knarrend,creaky,not_creaky
10,variabel,monoton,variable,monotonous
11,angenehm,unangenehm,pleasant,unpleasant
12,deutlich,undeutlich,articulate,inarticulate
13,rau,glatt,coarse,not_coarse
14,klar,heiser,clear,hoarse
15,unauffaellig,auffaellig,not_remarkable,remarkable
16,schnell,langsam,quick,slow
17,kalt,warm,cold,warm
18,unnatuerlich,natuerlich,unnatural,natural
19,stabil,zittrig,stable,shaky
20,unpraezise,praezise,imprecise,precise
21,bruechig,fest,brittle,firm
22,unmelodisch,melodisch,not_melodious,melodious
23,angespannt,entspannt,tense,relaxed
24,holprig,gleitend,bumpy,smooth
25,lang,kurz,long,short
26,locker,gepresst,lax,pressed
27,kraftvoll,kraftlos,powerful,powerless
28,fluessig,stockend,fluent,halting
29,weich,hart,soft,hard
30,professionell,unprofessionell,professional,unprofessional
31,betont,unbetont,emphasized,not_emphasized
32,sanft,schrill,gentle,shrill
33,getrennt,verbunden,disjointed,jointed
34,nicht_behaucht,behaucht,not_breathy,breathy
